Gene ID
3300005947 assembled Ga0066794_100381451
3300006864 assembled Ga0066797_10031786
3300005980 assembled Ga0066798_100080382
3300005071 assembled Ga0068302_100013445
3300005071 assembled Ga0068302_100122725
3300005079 assembled Ga0068304_10562144
3300005079 assembled Ga0068304_10782121
3300005079 assembled Ga0068304_11722681
3300005083 assembled Ga0068305_100583342
3300005083 assembled Ga0068305_101678521
3300005144 assembled Ga0068711_1000016286
3300005144 assembled Ga0068711_10000736
3300005144 assembled Ga0068711_10001326
3300005144 assembled Ga0068711_10032032
3300005144 assembled Ga0068711_10097181
3300005144 assembled Ga0068711_10119721
3300005144 assembled Ga0068711_10222901
3300005252 assembled Ga0068712_100036924
3300005145 assembled Ga0068713_100033724
3300005219 assembled Ga0069004_100137451
3300004628 assembled Ga0070399_100022725
3300004628 assembled Ga0070399_100047525
3300004628 assembled Ga0070399_100114528
3300004628 assembled Ga0070399_100386113
3300004628 assembled Ga0070399_10350352
3300005045 assembled Ga0071328_1609903
3300005259 assembled Ga0071344_10033885
3300005259 assembled Ga0071344_10055692
3300005259 assembled Ga0071344_10563732
3300005261 assembled Ga0071345_10074562
3300005263 assembled Ga0071346_10013997
3300005263 assembled Ga0071346_10058175
3300005263 assembled Ga0071346_10084628
3300005263 assembled Ga0071346_101046710
3300005263 assembled Ga0071346_10109514
3300005081 assembled Ga0072335_100293331
3300005081 assembled Ga0072335_100689561
3300005081 assembled Ga0072335_101258178
3300005082 assembled Ga0072336_100632347
3300005082 assembled Ga0072336_101029855
3300005095 assembled Ga0072504_1148478
3300005095 assembled Ga0072504_11917812
3300005095 assembled Ga0072504_1423044
3300005095 assembled Ga0072504_1432993
3300005099 assembled Ga0072682_1108373
3300005099 assembled Ga0072682_1148603
3300005098 assembled Ga0072683_1009564
3300005098 assembled Ga0072683_1012698
3300005098 assembled Ga0072683_1056445
3300005098 assembled Ga0072683_1056538
3300005098 assembled Ga0072683_1056549
3300005100 assembled Ga0072724_1026622
3300005101 assembled Ga0072934_101628642
3300005201 assembled Ga0072941_12553731
3300005201 assembled Ga0072941_15678091
3300007072 assembled Ga0073932_100049285
3300007072 assembled Ga0073932_10009162
3300010343 assembled Ga0074044_101980621
3300010341 assembled Ga0074045_101604841
3300010339 assembled Ga0074046_1000049930
3300010339 assembled Ga0074046_100205661
3300005665 assembled Ga0074127_1000694
3300005665 assembled Ga0074127_1004794
3300005665 assembled Ga0074127_1006156
3300005665 assembled Ga0074127_1025612
3300005405 assembled Ga0074193_100013187
3300005405 assembled Ga0074193_100047642
3300005405 assembled Ga0074193_10024987
3300005405 assembled Ga0074193_100359111
3300005405 assembled Ga0074193_10048365
3300005405 assembled Ga0074193_10051437
3300005405 assembled Ga0074193_10091682
3300005405 assembled Ga0074193_10091775
3300005326 assembled Ga0074195_1000014464
3300005326 assembled Ga0074195_100056383
3300005326 assembled Ga0074195_100088342
3300005326 assembled Ga0074195_10009859
