Gene ID
3300031691 assembled Ga0079367_10632581
3300031673 assembled Ga0079639_10012635
3300031565 assembled Ga0079640_10015757
3300029812 assembled Ga0079955_10009751
3300027365 assembled Ga0080004_10982781
3300026628 assembled Ga0080004_111372718
3300026626 assembled Ga0080004_111372723
3300024423 assembled Ga0080004_112079575
3300021588 assembled Ga0080004_113416547
3300020025 assembled Ga0080004_115895214
3300017921 assembled Ga0080455_100073820
3300017920 assembled Ga0080455_10048688
3300017919 assembled Ga0080455_10125452
3300013882 assembled Ga0080455_10138801
3300013020 assembled Ga0081375_1051911
3300001567 assembled Ga0081375_1067431
3300000838 assembled Ga0081425_1202432
3300000114 assembled Ga0081425_1360439
2914863142 assembled Ga0081760_10008181
2914861420 assembled Ga0081762_10162391
2836387812 assembled Ga0081762_10460991
2807341441 assembled Ga0082021_11864427
2755339685 assembled Ga0082037_1000003189
2708420154 assembled Ga0082037_1000010106
2706248801 assembled Ga0082037_100003775
2705563462 assembled Ga0082037_100006229
2701267759 assembled Ga0082037_100028522
2658380899 assembled Ga0082037_10014188
2648353763 assembled Ga0082037_10024555
2642842824 assembled Ga0082037_10028414
2620347068 assembled Ga0082037_10040224
2620343950 assembled Ga0082037_10046703
648055573 assembled Ga0082038_10017210
646706666 assembled Ga0082039_10000163
3300057048 assembled Ga0082039_10099301
3300056973 assembled Ga0082039_10128501
3300056902 assembled Ga0082206_1008476
3300056888 assembled Ga0082212_1000033150
3300048598 assembled Ga0082212_1000068811
3300048598 assembled Ga0082212_100016869
3300048576 assembled Ga0082212_100339823
3300045916 assembled Ga0097691_100123423
3300044508 assembled Ga0099364_10000002447
3300042623 assembled Ga0099364_1000682215
3300042582 assembled Ga0099364_100150841
3300042274 assembled Ga0099364_100675444
3300042270 assembled Ga0099364_100794533
3300042268 assembled Ga0099364_100836781
3300038988 assembled Ga0099364_101721861
3300038975 assembled Ga0099706_1009174
3300038974 assembled Ga0099962_10640219
3300037067 assembled Ga0099962_10640319
3300036940 assembled Ga0099962_10640419
3300036940 assembled Ga0100129_1015093
3300035548 assembled Ga0100130_1032721
3300035540 assembled Ga0100130_1054241
3300035529 assembled Ga0100194_12221323
