#OTUID ID	taxonomy	Confidence
01d32476395c79f5baf28c62ab29b331	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__WD2101_soil_group;s__	0.9999878926238022
01e364c7fc514027339ce5f5ab0bf9b6	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__	0.9460555569428165
01e38d7f2a5fb2728cd27153614a03f6	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	0.999183108529728
01e90deb3c90f9c2af2bbbf6aa256453	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.8600131005735289
01ed4c43593ac645029cd2d0de5bd04d	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;s__	0.7132531355319612
01ee3bcdb81613ab8bfe03dd7d686f9b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.887574305172079
01f68d672d3e5db2d4b47598cbe3b300	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	0.9906709270741053
01f6f13d8d401d4adc676cf1ec3fb7aa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Niveispirillum;s__	0.9619547164739515
020ea2fa80ad4d214b8fde2292aecea9	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Acetomicrobium;s__	0.9999999999881766
02186748ade489be2ad1f7032d3368a9	d__Bacteria;p__Chloroflexi;c__Anaerolineae	0.9993653722196316
021b9019677aae2d0b6b450e1c100c1d	d__Bacteria;p__TA06;c__TA06;o__TA06;f__TA06;g__TA06;s__	0.999992319841217
0224b7db7e39da5bb4fdeafa1627b9ae	d__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexi;f__Chloroflexi;g__Chloroflexi;s__	0.7668781108545404
022624b198e4ddca431a2a8d95933aa8	d__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus;s__	0.9999999991385238
0232865f92779557518df26cf70b8224	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	0.9876220779240014
0233512d4e926273f6e4b7ce06fe47d0	d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Thecofilosea;f__Thecofilosea;g__Thecofilosea;s__	0.9384098188632526
0237349b7a7fe8ace2d74f6587792a35	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Parablastomonas;s__	0.7949015729048767
023a8285a29fe4891b9cccd15dc20a11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__S-BQ2-57_soil_group;f__S-BQ2-57_soil_group;g__S-BQ2-57_soil_group;s__	0.9999999721966762
023d272cb7eee600ed359133f2a1dfc9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.7477832265382853
02473f94ef8df1aa1c0ea37a902a4211	d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlamydomonadales	0.9996614598185476
024f1069b44a989fbf2ad07c0bf42e5f	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14;s__	0.9999946358453742
025cc5b118980a69db66bb0a3b5743c5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.9997981013341408
025f7e0d2a4373f1a4a2d10bb73aa03b	d__Eukaryota	0.9999999994430024
02608cf4fd4bc5df765740a873ada399	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Pannonibacter;s__	0.8222458460666838
026886b8868a211eafbd7527327bbcba	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__SJA-15;g__SJA-15;s__	0.9999999495492785
0268a802f7b129abf9e9eae62133e5da	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales;s__	0.9983854528875955
02696055caba9faeeb6bbb38ab251f96	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__	0.9998913306543967
026f714b1da983644a44a4b39019f7b3	d__Bacteria;p__Firmicutes;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__Dethiobacter;s__	0.9959880779444157
02782ce0dc3284529392dfae137ef64a	d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Cyclopoida;f__Cyclopoida;g__Cyclopoida;s__	0.9999413681605316
027cc245da64046fc139da4c8ff23cd3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquincola;s__	0.787316287601223
